,Unnamed: 0,accepted,author,kingdom,Family,Accepted_Name,Rank,powo_Snippet,Source,Accepted_ID
0,1,True,Jum. & H.Perrier,Plantae,Arecaceae,Ravenea glauca,Species," <b>Use</b>: Not eaten, since the heart is <em>bitter</em>.",POWO: /taxon/urn:lsid:ipni.org:names:669546-1,669546-1
1,2,True,(Jum.) Beentje & J.Dransf.,Plantae,Arecaceae,Dypsis ankaizinensis,Species," <b>Use</b>: Palm-heart slightly <em>bitter</em>, but edible.",POWO: /taxon/urn:lsid:ipni.org:names:985348-1,985348-1
2,3,True,(Jum.) Beentje & J.Dransf.,Plantae,Arecaceae,Dypsis canaliculata,Species," <b>Use</b>: Palm-heart <em>bitter</em>, said to be poisonous by some.",POWO: /taxon/urn:lsid:ipni.org:names:985330-1,985330-1
3,4,True,F.N.Williams,Plantae,Lamiaceae,Vitex siamica,Species, <b>Use</b>: The fruits are edible and are described as slightly <em>bitter</em>,POWO: /taxon/urn:lsid:ipni.org:names:866005-1,866005-1
4,5,True,Jum. & H.Perrier,Plantae,Arecaceae,Ravenea sambiranensis,Species," <b>Use</b>:  with manioc and eaten, but slightly <em>bitter</em> (hence Mafahely, which",POWO: /taxon/urn:lsid:ipni.org:names:669552-1,669552-1
5,6,True,L.,Plantae,Simaroubaceae,Quassia amara,Species, <b>Use</b>:  of <em>bitters</em> and poison for flypaper.,POWO: /taxon/urn:lsid:ipni.org:names:814006-1,814006-1
6,7,True,Cheek & Onana,Plantae,Rutaceae,Vepris occidentalis,Species," <b>Use</b>: Chewsticks, bark <em>bitter</em>, chewed to cure cough",POWO: /taxon/urn:lsid:ipni.org:names:77197425-1,77197425-1
7,8,True,(Baill.) Beentje & J.Dransf.,Plantae,Arecaceae,Dypsis lastelliana,Species, <b>Use</b>: Pith formerly used to make salt; palm-heart <em>bitter</em>,POWO: /taxon/urn:lsid:ipni.org:names:985343-1,985343-1
8,9,True,(Jum. & H.Perrier) Beentje & J.Dransf.,Plantae,Arecaceae,Dypsis nauseosa,Species," <b>Use</b>:  for floorplanks. Palm-heart <em>bitter</em>, said to be poisonous.",POWO: /taxon/urn:lsid:ipni.org:names:985335-1,985335-1
9,10,True,"T.Evans, Sengdala, Viengkham, Thamm. & J.Dransf.",Plantae,Arecaceae,Calamus laoensis,Species," <b>Use</b>:  is not clear. Shoot edible, although some say it is too <em>bitter</em> to eat.",POWO: /taxon/urn:lsid:ipni.org:names:1017511-1,1017511-1
10,11,True,(Griff.) Becc.,Plantae,Arecaceae,Plectocomiopsis geminiflora,Species," <b>Use</b>: The cabbage, although <em>bitter</em>, is highly esteemed",POWO: /taxon/urn:lsid:ipni.org:names:669215-1,669215-1
11,12,True,Hildebrandt & H.Wendl.,Plantae,Arecaceae,Bismarckia nobilis,Species, <b>Use</b>:  as a slightly <em>bitter</em> sago. Outside Madagascar a prized ornamental,POWO: /taxon/urn:lsid:ipni.org:names:664859-1,664859-1
12,13,True,Roxb.,Plantae,Arecaceae,Phoenix acaulis,Species," <b>Use</b>: In times of scarcity, the <em>bitter</em> stem pith of P. acaulis",POWO: /taxon/urn:lsid:ipni.org:names:668898-1,668898-1
13,14,True,Jum. & H.Perrier,Plantae,Arecaceae,Ravenea robustior,Species," <b>Use</b>:  informs us the palm-heart is rather <em>bitter</em>, and not much liked",POWO: /taxon/urn:lsid:ipni.org:names:669551-1,669551-1
14,15,True,(Hook.) Hutch.,Plantae,Araceae,Amorphophallus aphyllus,Species," <b>Use</b>:  the pungent, <em>bitter</em> taste (Calcium-oxalate) has disappeared",POWO: /taxon/urn:lsid:ipni.org:names:84298-1,84298-1
15,16,True,Lindl.,Plantae,Apiaceae,Prangos pabularia,Species, <b>Use</b>:  – the <em>bitter</em> inedible form – yielded ten times that amount of alkaloids,POWO: /taxon/urn:lsid:ipni.org:names:847470-1,847470-1
16,17,True,Stapf,Plantae,Apocynaceae,Adenium oleifolium,Species, <b>Appearance</b>:  very <em>bitter</em>-tasting rootstock 50–80 x 15–30 cm.,POWO: /taxon/urn:lsid:ipni.org:names:76370-1,76370-1
17,18,True,Hepper & P.-M.L.Jaeger,Plantae,Solanaceae,Solanum linnaeanum,Species," <b>Fruit</b>: ) cm in diameter, globose, glabrous, dry when mature, <em>bitter</em>",POWO: /taxon/urn:lsid:ipni.org:names:930040-1,930040-1
18,19,True,(L.) Schrad.,Plantae,Cucurbitaceae,Citrullus colocynthis,Species," <b>Fruit</b>: , very <em>bitter</em>",POWO: /taxon/urn:lsid:ipni.org:names:291930-1,291930-1
